date,prediction,real_price
2021/04/11,58758.6953125,60205.0
2021/04/12,59057.99609375,59893.4
2021/04/13,58192.48046875,63503.5
2021/04/14,56048.94921875,63109.7
2021/04/15,58323.984375,63314.0
2021/04/16,58245.0859375,61572.8
2021/04/17,59793.3046875,60683.8
2021/04/18,60205.11328125,56216.2
2021/04/19,59893.5,55724.3
2021/04/20,63503.640625,56473.0
2021/04/21,63109.8203125,53906.1
2021/04/22,63314.12109375,51762.3
2021/04/23,61572.90625,51093.6
2021/04/24,60683.890625,50050.9
2021/04/25,56216.23828125,49004.2
2021/04/26,55724.33203125,54021.8
2021/04/27,56473.03515625,55033.1
2021/04/28,53906.1171875,54824.7
2021/04/29,51762.2890625,53555.1
2021/04/30,51093.57421875,57750.2
2021/05/01,50050.86328125,57828.1
2021/05/02,49004.15234375,56631.1
2021/05/03,54021.80859375,57200.3
2021/05/04,55033.12890625,53333.5
2021/05/05,54824.72265625,57424.0
2021/05/06,53555.109375,56396.5
2021/05/07,57750.2578125,57356.4
2021/05/08,57828.1640625,58803.8
2021/05/09,56631.140625,58232.3
2021/05/10,57200.34765625,55859.8
2021/05/11,53333.49609375,56704.6
2021/05/12,57424.03515625,49150.5
2021/05/13,56396.51953125,49716.2
2021/05/14,57356.42578125,49880.5
2021/05/15,58803.84765625,46760.2
2021/05/16,58232.3359375,46456.1
2021/05/17,55859.8046875,43537.5
2021/05/18,56704.62890625,42909.4
2021/05/19,49150.43359375,37002.4
2021/05/20,49716.12890625,40782.7
2021/05/21,49880.44140625,37304.7
2021/05/22,46760.09765625,37536.6
2021/05/23,46455.984375,34770.6
2021/05/24,43537.35546875,38706.0
2021/05/25,42909.2421875,38402.2
2021/05/26,37002.17578125,39294.2
2021/05/27,40782.51953125,38437.0
2021/05/28,37304.48046875,35697.6
2021/05/29,37536.3828125,34616.1
2021/05/30,34770.34375,35678.1
2021/05/31,38705.7890625,37332.9
2021/06/01,38401.9765625,36684.9
2021/06/02,39293.9921875,37575.2
2021/06/03,38436.7734375,39208.8
2021/06/04,35697.34765625,36894.4
2021/06/05,34615.8359375,35552.0
2021/06/06,35677.84375,35862.4
2021/06/07,37332.6640625,33560.7
2021/06/08,36684.65234375,33472.6
2021/06/09,37574.97265625,37345.1
2021/06/10,39208.58203125,36702.6
2021/06/11,36894.15625,37334.4
2021/06/12,35551.74609375,35552.5
2021/06/13,35862.140625,39097.9
2021/06/14,33560.4140625,40218.5
2021/06/15,33472.31640625,40406.3
2021/06/16,37344.859375,38347.1
2021/06/17,36702.359375,38053.5
2021/06/18,37334.1640625,35787.2
2021/06/19,35552.2421875,35615.9
2021/06/20,39097.6875,35698.3
2021/06/21,40218.3046875,31676.7
2021/06/22,40406.1015625,32505.7
2021/06/23,38346.90625,33723.0
2021/06/24,38053.3046875,34662.4
2021/06/25,35786.98046875,31637.8
2021/06/26,35615.67578125,32186.3
2021/06/27,35698.0703125,34649.6
2021/06/28,31676.42578125,34434.3
2021/06/29,32505.431640625,35867.8
2021/06/30,33722.75,35040.8
2021/07/01,34662.15234375,33572.1
2021/07/02,31637.5234375,33897.1
2021/07/03,32186.03125,34668.6
2021/07/04,34649.36328125,35287.8
2021/07/05,34434.0625,33746.0
2021/07/06,35867.578125,34235.2
2021/07/07,35040.56640625,33855.3
2021/07/08,33571.84375,32877.4
2021/07/09,33896.8515625,33798.0
2021/07/10,34668.35546875,33520.5
2021/07/11,35287.5625,34240.2
2021/07/12,33745.74609375,33155.9
2021/07/13,34234.953125,32702.0
2021/07/14,33855.046875,32822.4
2021/07/15,32877.12890625,31780.7
2021/07/16,33797.73828125,31421.5
2021/07/17,33520.23046875,31533.1
2021/07/18,34239.9453125,31796.8
2021/07/19,33155.625,30817.8
2021/07/20,32701.72265625,29807.3
2021/07/21,32822.12109375,32110.7
2021/07/22,31780.41796875,32313.1
2021/07/23,31421.2109375,33581.6
2021/07/24,31532.8125,34292.4
2021/07/25,31796.53125,35350.2
2021/07/26,30817.51953125,37337.5
2021/07/27,29807.001953125,39406.9
2021/07/28,32110.42578125,39995.9
2021/07/29,32312.826171875,40008.4
2021/07/30,33581.34375,42235.6
2021/07/31,34292.1484375,41626.2
2021/08/01,35349.96484375,39974.9
2021/08/02,37337.2890625,39201.9
2021/08/03,39406.70703125,38153.0
2021/08/04,39995.703125,39747.5
2021/08/05,40008.20703125,40869.6
2021/08/06,42235.43359375,42816.5
2021/08/07,41626.02734375,44555.8
2021/08/08,39974.7109375,43798.1
2021/08/09,39201.70703125,46365.4
2021/08/10,38152.80078125,45585.0
2021/08/11,39747.3203125,45593.6
2021/08/12,40869.453125,44428.3
2021/08/13,42816.37890625,47793.3
2021/08/14,44555.6953125,47096.9
2021/08/15,43798.00390625,47047.0
2021/08/16,46365.32421875,46004.5
2021/08/17,45584.91015625,44695.4
2021/08/18,45593.51171875,44801.2
2021/08/19,44428.19140625,46717.6
2021/08/20,47793.234375,49339.2
2021/08/21,47096.8203125,48905.5
2021/08/22,47046.921875,49321.6
2021/08/23,46004.41015625,49546.1
2021/08/24,44695.296875,47706.1
2021/08/25,44801.09765625,48960.8
2021/08/26,46717.52734375,46942.2
2021/08/27,49339.15625,49058.7
2021/08/28,48905.453125,48902.4
2021/08/29,49321.5390625,48829.8
2021/08/30,49546.0390625,47055.0
2021/08/31,47706.015625,47166.7
2021/09/01,48960.73046875,48847.0
2021/09/02,46942.1015625,49327.7
2021/09/03,49058.62109375,50025.4
2021/09/04,48902.32421875,49944.6
2021/09/05,48829.71875,51753.4
2021/09/06,47054.89453125,52633.5
2021/09/07,47166.60546875,46811.1
2021/09/08,48846.921875,46091.4
2021/09/09,49327.6171875,46391.4
2021/09/10,50025.33203125,44883.9
2021/09/11,49944.53125,45201.5
2021/09/12,51753.34765625,46063.3
2021/09/13,52633.48046875,44963.1
2021/09/14,46811.00390625,47092.5
2021/09/15,46091.29296875,48176.4
2021/09/16,46391.29296875,47783.4
2021/09/17,44883.78125,47267.5
2021/09/18,45201.38671875,48278.4
2021/09/19,46063.1953125,47260.2
2021/09/20,44962.98046875,42843.8
2021/09/21,47092.3984375,40693.7
2021/09/22,48176.32421875,43574.5
2021/09/23,47783.3203125,44895.1
2021/09/24,47267.41796875,42839.8
2021/09/25,48278.328125,42716.6
2021/09/26,47260.12109375,43208.5
2021/09/27,42843.66015625,42235.7
2021/09/28,40693.52734375,41034.5
2021/09/29,43574.37109375,41564.4
2021/09/30,44894.984375,43790.9
2021/10/01,42839.66015625,48116.9
2021/10/02,42716.45703125,47711.5
2021/10/03,43208.359375,48199.9
2021/10/04,42235.55078125,49112.9
2021/10/05,41034.34375,51514.8
2021/10/06,41564.25,55361.4
2021/10/07,43790.765625,53806.0
2021/10/08,48116.8125,53967.9
2021/10/09,47711.41015625,54968.2
2021/10/10,48199.8046875,54771.6
2021/10/11,49112.8125,57484.8
2021/10/12,51514.75,56041.1
2021/10/13,55361.39453125,57401.1
2021/10/14,53805.98046875,57321.5
2021/10/15,53967.875,61593.9
2021/10/16,54968.1875,60892.2
2021/10/17,54771.5859375,61553.6
2021/10/18,57484.8125,62026.1
2021/10/19,56041.08984375,64262.0
2021/10/20,57401.09765625,65992.8
2021/10/21,57321.5078125,62210.2
2021/10/22,61593.94921875,60692.3
2021/10/23,60892.25390625,61393.6
2021/10/24,61553.65625,60930.8
2021/10/25,62026.15625,63039.8
2021/10/26,64262.078125,60363.8
2021/10/27,65992.8984375,58482.4
2021/10/28,62210.25390625,60622.1
2021/10/29,60692.33984375,62228.0
2021/10/30,61393.64453125,61888.8
2021/10/31,60930.83203125,61319.0
2021/11/01,63039.86328125,61004.4
2021/11/02,60363.83203125,63226.4
2021/11/03,58482.41015625,62970.1
2021/11/04,60622.14453125,61452.2
2021/11/05,62228.0625,61125.7
2021/11/06,61888.859375,61527.5
