评论,评分
物流非常快，手机非常烫，卡是真的卡，新手机就卡真的，续航还可以吧,1
不好用，装上指纹不好用，手机屏看着难受了，希望大家慎重选择，物不值价。,1
vivox60/12+256手机挺好，拍摄很清晰整体性价比高。但是商家7天无举证退换货有只是噱头的嫌疑，本身自带缺陷只要拿到手商家就不承认，不采取鉴定措施定责直接以无法判定推脱而拒绝退换。在此提醒用户还是检验好再签收，以免造成窝心不愉快的购物体验。顺便把手机缺陷部位照片附上让大家有个见证和分析也希望大家注意。,1
追评：新机刚好买一个月出现手机发热、自动关机现象，联系客服，强制开机才可以，不知道后续还会不会自动关机,1
手机刚买一个多月，前几天出下无故关机，最近几天，已经出现了几次手机卡，无服务，无移动网络，需要关机重启后，才能恢复，真垃圾，无语,1
用了不到一个月，高级修图APP就啦了，滤镜点了，照片直接黑屏。，还得从新下载安装APP。好失望,1
耗电快 还发热 五个小时耗电百分之七十 最大缺点耗电量快   还发热,1
手机有卡顿，看新闻时屏幕下滑不流畅，屏幕像素也不行，说的送爱奇艺会员也一直不兑现,1
外壳好看，相机还不错，音质清晰就是高音有些许刺耳，裸机有点偏厚，待机时间一直玩能撑十多个小时吧，买了两个月了，标注送蓝牙耳机到现在都没补发客服也不理人我也是无语了！一星给售后,1
拍照效果：一般外形外观：笨重屏幕音效：凑合待机时间：非常差运行速度：勉强过得去耗电不是一般的快,1
垃圾东西，一天两充。还没开5G耗电非常快。真让劳资失望，从此以后不用vivo了,1
一直都是用的vivo的手机，这次这手机真不行，买回来不到一天X60就划不动屏幕，放一晚上第二天划屏又可以，又找不到原因,1
用了几天电池突然出现问题，晚上充满早上起来百分之四十电没了，白天上班不玩手机，不到下班手机没电自动关机！,1
外形外观：很适合女孩子用运行速度：老是卡待机时间：待机耗电其他特色：运行速度真的很慢，元旦买的，现在网页老是打不开，而且耗电特别快,1
说实话这是我第一次再京东买这么不好的东西，不是说不是正品，是这款手机本身的问题，我对手机没有很高的要求，但是这款手机没有我原来vivo的手机好，没有夜间远红外功能，没有视频美颜功能，录像功能的美颜也是不是很好用,1
没有耳机孔，防抖有延迟，只有4800万像素，或许只有做工好一些，外表倒是挺好看，基本上毫无特色，幸好给朋友买的，害，差评,1
手机拍照效果很好，特别是夜景模式，手机给五星好评。附赠的电信卡，我真的怀疑是不是vivo联合中国电信一起**，上面学着激活包用2个月，**我激活后充值200用了6天直接停机了,1
1，包装盒呀变形2，开车时候，出现网络无信号，同路段，把卡安装回旧手机后0K。3，导航出现我多开了10km路，,1
已退货，完全颠覆了我原来对vivo品牌的认知和忠诚，手机买回来不到五天，接了一个稍微长一点的电话，对方挂机后本手机直接黑屏死机，任何操作都没反应，退货时我连数据都没法导出来,1
1.开机到设置完花了10.20分钟，就能明显的感到烫2.618当天买的，619便降价，所有的优惠下来，619天dd价格比618便宜几十，却无法申请价格保护,1
运行速度：还行。。待机时间：一般。。够耍一天。买了，第二天就降一百多。。只有差评了。拍照效果：不错，挺清晰的。,1
不能自动连接蓝牙啊，来电话后，就断了，还要点连接蓝牙，来20个电话，就要点20次，问客服，说是我蓝牙的问题,1
这款手机  性价比不行  电池待机时间短  整体流畅度差 最主要网络不好  不知是手机原因还是我通讯卡的原因,1
其他都好 就是手机电池啊耐用 耗电很快 一天都撑不了 不用的时候放着都很烫 随便用一下温度就很高,1
新款机子  没想到毛病那么多 第一次有毛病换了 第二个又有问题 返回去半个月没消息  这让我以后还怎么敢在京东买手机哟,1
昨天刚买，今天用了一天电池不耐用，就算待机状态下也费电，平均5分钟下一格电，这要是玩游戏，2个小时就没电，,1
3分钟下一格电，这要玩手机5小时就没电，,1
电池不耐用，掉电非常快，睡觉前充满睡觉，早上起来掉电百分之十，白天放在家里一天都没用，手机都是热的，也会掉电百分之三四十。,1
运行速度：玩游戏卡顿，有时候会卡屏半分钟之久外形外观：屏幕原来以为是膜，屏幕亮的时候可以看到屏幕两条较短的划痕，用指甲在屏幕划能感觉出来，屏幕熄灭时还有一条较长看起来好像屏裂的划痕拍照效果：一般其他特色：因为一直都是网购机，也一直用的vivo，之前在北京那边，也是一直在京东买，从来没出现过任何问题和小的瑕疵，这次在周口这边，不知道为什么会这样,1
发热的真历害，用一下放进囗袋，差不多肉都要熟了，导航定位不会更新，（比如从公明出发到了福田，定位还在公明），照相看不清,1
电池昨天没更新系统的时候，cpu温度安兔兔里面看到是57度，昨天六点玩到十二点剩20%的电，昨天晚上更新系统，安兔兔里面cpu温度到63度，上午半天上班都没怎么用，就只剩一半的电，续航血崩。,1
外形外观：很好看屏幕音效：一般拍照效果：不错。也就拍照不错了运行速度：重点来了！！还没有我用了两年的就手机快！！两台手机一起组队自动刷本，反应要满两秒，经常一个画面就卡住了！！还是一个出了4年的游戏。可以想像性能有多拉夸。待机时间：把5g和高刷关了勉强可以一天。随便做个什么都感觉后盖发热。哎，,1
太垃圾了夏天到了。五一带小孩要想拍点视频。竟然。垃圾垃圾垃圾过热了所有的程序都用不了。一共没有拍五分钟,1
我天，一下子就死机了，绝望,1
客服服务态度极差，给人一种我行我素的感觉,1
气死我了，卡槽取不出来，,1
发货速度太慢，比预约的时间晚一天,1
才买几天，就降价300。再也不敢买了，再也不敢买了,1
待机时间：电池电量一下都没了，耗电严重,1
包装纸盒很薄且太大无填充物,1
反应慢，使用感非常不爽,1
电池不耐用，物流太慢，客服态度差,1
买了就降价300元，坑,1
用半个小时就发烫，特别费电,1
非常不满意手机充电时充电器发热问客服客服都不搭理人,1
电池真垃圾，一天要冲好几回电，,1
充电发热严重，可以说烫手,1
东西送的太慢，京东物流在推诿、京东客服不作为。,1
最差的一次购物，奉劝各位不要买！以后也不会在京东买了！,1
客户服务不好，物流太慢，没按预订时间送到，太差了，差评，差评，差评,1
其他特色：赠品问客服说一起发，手机收到后说缺货，赠品要一周后发，售后非常差,1
卡槽有使用过的痕迹，客服服务态度太差了,1
这电池假的吧？用了一个月就开始耗电太快了,1
买了没两天降价了，超过七天的保价期，就不给退差价了，手机是没问题，售后解决问题真差。,1
说送耳机也不送，好几次买东西都不送赠品，京东就会这样骗人，买的时候12期免息，刚买过变成24期，,1
非常不安全的手机，时不时未经许可自动安装乱七八糟app。,1
刚买第二天就降价，太坑了，618保价，给客服说也不退差价,1
刚充了一次电 充电器大头就坏了 气死了,1
耗电快 发热严重 还不如走两年前的y93s,1
外形外观：外观不好看太差劲啦太难看太赖,1
价格变化很恶心，之前赠送一个破耳机三百块钱，合计是现在的三百买的，你要送就送，别**拿价格搁这儿打马虎眼！不会再京东上买高价产品了,1
物流真的是龟速！催单一点效果都没有！太令人失望了！很不满意的一次购物,1
电池特别不经用一，正常上班最多12个小时就没电了,1
这**不知道是什么垃圾手机，接收信号又差。,1
差评，服务不好，一般不在京东买东西，这是最后一次，售后不完善，投诉都没地方投诉，店大欺客,1
垃圾垃圾，瞎眼了来这里买，服务差差差！！！保价骗人，各种理由借口,1
卡的要命，信号还不好，太差了，不是一般的差,1
垃圾玩意，买了不到半个月，降价300，保价7天？你们**7天内会做2次活动吗？垃圾,1
手机使用发热的厉害，真不建议使用,1
服务质量真心不行，原来就有的划痕，现在换货就不可以，,1
电池很不耐用   差评,1
买没到3天又降100.太坑了,1
看直播说送的东西，最后也没送，水凝膜也不贴合，哎，作为老客户有点失望了,1
运行速度：太垃圾了，还不如我先前X20.,1
网络接收不好，信号很差！,1
非常糟心，总连不上WIFI，能把人气死,1
手机很卡，第一次买到这么卡的手机,1
运行速度：机 太慢，用5G还老卡。好像是被人家用过的。手机太差了,1
商家简直就是一个垃圾，赚着没有良心的钱。我买了有**天就降价了。还不给我们保价。,1
手机定位太差!手机上老说定位信号弱唉?崩溃啊,1
网速太慢了，电池也不耐用，没有广告说的好,1
京东自营什么时候开始，早上10点之前下单，要第二天才到货？预计当天到，结果第二天才到，什么时候变垃圾了,1
买了几天就看到降价400元，太@了,1
非常差，买回来用不到10天，触屏反应不灵敏，现在要求换货，那么久都不换,1
电池耗电太快，两局游戏没了,1
孩子网课视频半个小时，电池烫到可以煎鸡蛋，太菜了,1
刚买了个手机网络就反应慢，客服态度差运行速度：运行速度慢,1
客服相当恶劣，耳机送完了，我问的时候也不回答，去年一年来最不爽的一次购物,1
联系了下客服，发现是我本人操作不当，而且耳机也已经补发，感谢京东，优质服务,1
拿到手机后，只用了摄像头，未插卡未联网，未用其他功能，恢复出厂设置时，显示微博登录过。是个二手机？？？？！！！,1
打电话时有很大的电流声。完全接受不了！,1
新手机联系人里就有80多个电话号码，京东就这么拿翻新机糊弄人，太过分了！果断退货,1
才买一个月不到出现两次相机故障，用不起，扫一扫也用不起，态差劲了,1
第一次买vivo的产品 刚买了15天听筒就坏了 打电话听不到声音 以后绝不会再买这个垃圾牌子的东西了！,1
发热太严重了，一直怀疑买到假货了，视频一会儿就烫的不行,1
太烂了不如华为  一点都不值这个价  后悔死,1
耗电又快   永远都不会在买这个牌子  一千多块的手机差不多  害我还期待这么久  反应太慢了  建议下架,1
质量太垃圾了，买了没到一个月坏了，大家还是别买了,1
很差劲，手机电池不耐用，谨慎购买,1
用过最垃圾的手机。经常网络中断，谁买谁后悔。,1
京东自营店也这么慢，次日达的能发四天，无语,1
最失败的购物体验，刚到手下载一个王者打一局直接卡死，再有一次卡死直接退货。槽,1
才买的就有时候卡顿 还有电池超级不耐用无法表达的愤怒,1
垃圾手机，一个月就降价500元，半年以后就白菜价了，上当了，不建议购买！,1
这京东也是坑太坑了，这次买了，下次不会再用了，什么六期免息？,1
其他特色：售后很差，新机的数据线用不了，去了大沙头那说要我去天河，还说没线,1
续航能力太差，都不怎么玩，一天的没电,1
